Item,Category,Gold,Silver,Platinum,Rhodium,Nickel,Tin,Lithium,Aluminum,Carbon,Profit ($),Total_Value,Recoverable
TV,Cat4,2.8,3.75,6.79,9.51,9.12,1.73,0.51,5.39,4.12,503.7,2201.446451999999,1
Stove,Cat1,6.25,7.65,9.45,4.23,3.41,2.06,5.12,6.77,1.02,817.91,1816.078712,1
Smartphone,Cat3,0.93,6.34,0.14,3.26,6.15,3.04,4.0,6.56,5.46,56.97,580.6022459999999,0
Air Conditioner,Cat1,5.98,9.6,3.8,4.52,4.62,9.82,1.63,5.97,9.3,503.19,1388.7256199999997,0
Microwave Oven,Cat2,9.87,3.43,0.21,6.69,6.67,0.95,2.68,8.69,3.94,498.3,1669.3685339999997,0
Speaker,Cat4,0.24,8.03,7.32,3.0,9.94,4.36,2.37,3.64,4.53,408.83,1080.7911130000002,0
Audio Equipment,Cat4,0.99,2.84,3.44,6.3,5.71,1.24,4.28,1.4,7.32,234.69,1319.4179919999997,0
Air Conditioner,Cat1,2.78,2.95,8.48,8.1,1.29,5.14,8.87,1.25,3.52,592.77,2117.845882,1
TV,Cat4,8.36,1.26,9.9,3.78,7.69,2.9,0.22,2.13,4.51,942.11,1907.5606009999997,1
Iron,Cat2,7.19,9.21,3.72,5.61,3.25,2.96,1.39,7.11,7.81,557.99,1625.594471,0
Vacuum Cleaner,Cat2,2.37,9.66,3.68,6.69,2.39,8.23,5.73,4.01,4.53,319.35,1491.5428530000006,0
Monitor,Cat4,1.21,7.21,5.93,9.36,8.6,7.17,8.84,7.91,4.39,381.57,2013.5211589999997,1
Washing Machine,Cat1,0.54,2.31,1.31,1.17,0.72,3.13,7.84,6.8,8.69,98.12,323.3660990000001,0
Washing Machine,Cat1,3.26,3.97,5.29,3.4,0.68,1.5,2.62,4.32,9.02,445.94,1161.488542,0
Toaster,Cat2,3.94,4.25,1.62,6.59,8.41,1.85,6.07,7.06,0.66,282.98,1401.294016,0
Toaster,Cat2,6.3,8.58,1.08,5.14,9.55,7.42,7.11,9.77,9.91,372.61,1283.463381,0
iPhone 11,Cat3,0.68,4.74,3.5,7.05,1.74,9.24,4.54,6.96,1.03,223.86,1423.3247030000002,0
Microwave Oven,Cat2,9.63,7.66,4.91,8.04,4.8,0.83,4.97,3.39,9.37,740.73,2248.431537,1
Washing Machine,Cat1,7.98,6.75,8.23,6.87,3.86,9.32,9.6,5.04,8.7,837.17,2233.1607300000005,1
TV,Cat4,7.08,0.86,7.96,9.24,0.29,0.15,0.48,5.37,1.9,774.89,2516.7692300000003,1
Fridge,Cat1,5.92,4.9,4.86,0.19,0.65,7.51,2.77,2.32,5.62,554.25,795.1052920000001,0
Air Conditioner,Cat1,7.37,5.96,3.96,6.89,1.19,1.75,7.98,1.49,7.97,577.78,1851.492197,1
Fridge,Cat1,2.77,4.28,1.11,3.53,8.53,9.93,9.58,4.9,1.86,198.34,813.4770759999999,0
Air Conditioner,Cat1,6.06,2.93,5.88,4.86,0.2,4.72,4.24,7.62,7.35,614.59,1608.3173350000004,0
Speaker,Cat4,3.46,7.76,3.15,0.58,2.55,7.12,0.77,1.57,3.26,343.41,567.237136,0
iPhone 11,Cat3,3.33,4.13,0.87,8.12,8.78,4.16,6.94,4.9,5.43,212.81,1539.847343,0
Microwave Oven,Cat2,3.9,8.28,1.47,5.16,3.62,4.21,4.14,8.66,7.79,275.27,1168.8165290000002,0
iPhone 11,Cat3,7.41,9.47,5.13,1.06,3.52,2.1,1.21,7.46,7.37,644.48,1048.4167970000003,0
Toaster,Cat2,1.25,0.17,5.53,7.99,1.62,5.3,6.75,7.05,8.83,357.94,1764.3485930000002,1
iPhone 11,Cat3,8.19,3.4,7.15,7.33,9.55,8.02,6.07,1.01,7.57,787.76,2226.823186999999,1
iPhone 11,Cat3,3.26,7.27,6.23,9.16,8.5,8.37,9.43,0.48,2.83,498.43,2134.0005929999998,1
Stove,Cat1,8.48,6.52,4.38,6.13,5.05,3.99,4.46,8.73,9.45,655.24,1837.187225,1
Tablet,Cat3,4.57,3.95,6.43,2.82,5.45,1.58,9.13,3.18,5.47,571.45,1245.2923870000002,0
iPhone 11,Cat3,5.91,3.71,2.3,2.02,1.12,5.6,1.78,8.88,5.21,415.88,869.5979810000001,0
Fridge,Cat1,3.85,2.9,7.19,9.05,4.02,5.78,0.38,1.43,5.51,576.25,2226.867501,1
Audio Equipment,Cat4,4.53,1.48,0.38,4.55,8.02,3.42,1.89,1.56,1.1,243.97,1018.58069,0
Fridge,Cat1,2.82,7.49,9.94,7.68,4.94,9.28,8.62,6.84,7.32,675.69,2178.015352,1
Stove,Cat1,5.25,1.6,2.86,4.7,6.89,2.35,8.4,3.29,0.78,412.26,1287.4923179999998,0
Tablet,Cat3,4.06,0.9,6.34,1.42,5.61,4.48,9.08,4.9,1.49,539.87,986.587629,0
Microwave Oven,Cat2,9.06,0.21,0.96,5.24,6.7,3.64,5.53,2.3,2.73,496.89,1452.1937530000002,0
Vacuum Cleaner,Cat2,3.87,5.7,7.85,6.4,7.29,3.24,6.03,3.27,1.66,614.2,1873.5254759999998,1
Vacuum Cleaner,Cat2,5.29,1.68,3.37,9.18,8.48,9.16,3.74,3.38,2.15,441.75,2025.956155,1
Stove,Cat1,1.34,8.3,5.41,8.41,8.83,2.34,5.4,3.81,8.01,360.64,1833.0381909999999,1
TV,Cat4,4.6,2.26,2.09,9.09,6.64,9.09,2.24,3.22,8.07,339.57,1866.0438369999997,1
Speaker,Cat4,0.57,0.19,8.8,2.7,1.82,5.21,9.5,2.06,5.3,499.75,1167.1459000000004,0
Speaker,Cat4,8.83,9.82,3.91,9.17,7.71,1.35,4.74,1.17,3.2,649.13,2295.0930400000007,1
iPhone 11,Cat3,5.74,1.64,1.01,5.43,9.28,6.94,9.31,3.02,9.26,337.36,1281.415766,0
iPhone 11,Cat3,2.1,8.81,0.41,1.37,4.8,0.82,8.92,7.18,9.38,130.28,384.37247800000006,0
Audio Equipment,Cat4,3.27,7.67,7.38,0.23,3.45,4.56,1.88,6.37,6.53,560.63,843.711403,0
Tablet,Cat3,7.1,8.72,3.71,3.83,9.47,3.7,5.06,1.47,3.2,552.85,1343.0020100000002,0
Stove,Cat1,1.41,4.45,2.9,8.61,3.81,1.26,2.51,9.36,0.54,227.29,1661.265914,0
Smartphone,Cat3,8.0,8.29,8.6,9.23,8.37,6.66,3.52,0.9,0.14,858.88,2631.540894,1
Tablet,Cat3,0.28,9.32,8.63,9.78,2.63,0.87,4.52,2.79,9.06,481.56,2241.2835660000005,1
Tablet,Cat3,4.9,1.78,3.12,3.1,5.6,3.64,6.65,0.88,3.5,409.11,1039.01471,0
TV,Cat4,5.94,2.98,6.31,7.37,2.72,1.81,0.38,6.75,7.2,631.74,2024.70522,1
Laptop,Cat3,8.05,2.86,9.18,7.45,2.08,9.16,2.66,3.02,1.58,889.26,2400.5278579999995,1
TV,Cat4,9.95,8.09,9.45,9.69,6.17,5.89,2.73,3.3,0.46,1000.08,2892.3336360000003,1
Tablet,Cat3,1.18,6.07,6.81,1.27,8.05,4.03,8.89,6.45,2.0,426.53,827.7906199999999,0
Speaker,Cat4,1.07,5.54,6.33,6.31,3.01,4.22,5.93,5.15,7.73,395.04,1562.663823,0
Microwave Oven,Cat2,8.66,9.95,6.13,9.24,7.93,9.62,1.52,1.77,8.6,759.96,2475.58711,1
Smartphone,Cat3,9.99,2.41,7.0,5.0,8.25,3.21,6.22,9.79,3.23,867.49,1964.0282630000002,1
Iron,Cat2,4.82,4.38,0.5,3.3,1.37,3.29,0.51,3.78,5.91,266.22,855.152281,0
Speaker,Cat4,4.33,7.7,9.24,4.38,9.46,2.15,1.7,6.34,9.68,712.43,1703.3966180000004,0
Washing Machine,Cat1,7.78,9.55,9.51,4.02,8.72,4.13,6.78,6.82,9.88,897.5,1885.2385579999998,1
Laptop,Cat3,7.37,0.12,9.4,8.28,8.23,3.05,4.85,3.04,4.24,866.03,2502.1705339999994,1
Washing Machine,Cat1,1.51,9.9,3.04,4.17,1.43,2.39,0.32,5.58,1.68,242.82,995.7403580000001,0
Speaker,Cat4,4.42,4.59,3.88,2.97,3.81,7.77,3.05,1.87,9.23,427.9,1053.3986229999998,0
Smartphone,Cat3,3.94,8.4,7.6,8.08,9.16,5.28,3.11,4.05,6.73,605.85,2120.649263,1
Fridge,Cat1,3.93,9.97,8.42,1.82,9.93,1.73,3.3,2.54,8.65,650.14,1217.535415,0
Stove,Cat1,7.57,7.58,5.84,7.56,4.2,0.32,9.78,7.6,0.9,689.28,2121.6074100000005,1
iPhone 11,Cat3,0.34,4.44,9.37,5.79,8.85,7.63,6.62,0.31,6.07,521.57,1682.2100669999998,0
Air Conditioner,Cat1,7.46,2.16,0.66,7.14,3.24,3.66,6.97,2.09,9.53,403.27,1625.0019630000002,0
Tablet,Cat3,8.55,3.9,3.66,1.95,7.43,2.32,6.12,2.03,7.28,618.6,1132.805558,0
Air Conditioner,Cat1,0.77,0.26,4.59,9.34,4.21,0.5,4.73,6.06,4.41,283.99,1867.6446609999998,1
Air Conditioner,Cat1,9.79,6.02,6.16,0.98,4.81,6.66,8.97,5.13,5.26,814.74,1263.988916,0
Laptop,Cat3,5.12,9.08,2.15,9.69,9.39,1.4,0.64,6.98,9.58,372.14,2002.4107979999999,1
Monitor,Cat4,9.95,4.59,2.67,9.5,9.3,4.54,5.6,8.02,4.26,634.81,2310.439406,1
iPhone 11,Cat3,3.28,2.33,9.55,0.29,5.29,0.31,3.4,3.29,5.18,674.28,1024.2301380000001,0
TV,Cat4,5.63,2.83,3.26,4.99,3.69,7.95,3.4,9.1,4.96,453.13,1389.655866,0
Microwave Oven,Cat2,1.98,6.96,8.37,2.56,3.56,7.65,5.03,0.89,0.64,549.94,1204.521624,0
Iron,Cat2,8.43,6.3,5.29,4.25,1.84,5.45,5.81,1.22,6.82,701.4,1616.1720320000002,0
Stove,Cat1,3.21,8.95,6.67,6.63,4.14,7.8,4.35,4.74,7.57,520.44,1775.841597,1
Laptop,Cat3,0.99,8.74,0.9,8.21,9.74,8.28,9.18,8.1,3.81,102.17,1415.7164010000004,0
Vacuum Cleaner,Cat2,2.86,1.98,8.96,1.02,5.37,1.39,0.48,3.19,6.79,621.85,1063.219539,0
Stove,Cat1,8.7,4.95,8.71,3.3,2.9,8.34,6.75,9.72,8.14,897.21,1761.5508940000002,1
Vacuum Cleaner,Cat2,5.53,6.16,9.03,1.89,7.13,2.84,0.26,4.12,2.98,759.24,1373.329838,0
Vacuum Cleaner,Cat2,6.02,6.67,0.58,9.97,5.76,2.28,4.34,9.41,5.22,330.82,1972.1662519999998,1
Tablet,Cat3,1.14,4.13,4.54,6.43,7.52,8.2,4.65,4.61,3.45,301.9,1439.4694350000002,0
Iron,Cat2,7.89,8.27,3.63,3.14,9.61,2.64,4.45,1.02,1.94,587.1,1278.0832540000001,0
Washing Machine,Cat1,5.47,8.85,4.54,5.05,2.93,7.65,7.65,3.04,2.89,517.29,1498.4438989999999,0
Tablet,Cat3,9.04,8.17,3.16,4.41,0.85,4.31,2.78,6.11,6.39,618.28,1507.961359,0
Monitor,Cat4,2.29,9.92,0.28,9.94,7.76,4.99,0.78,7.07,1.76,133.41,1715.119096,0
Vacuum Cleaner,Cat2,4.35,3.95,1.85,4.17,6.92,9.21,6.76,0.15,0.36,315.4,1070.162596,0
iPhone 11,Cat3,7.67,9.89,7.57,0.54,8.9,1.52,0.5,2.47,4.09,788.3,1182.0296790000002,0
Fridge,Cat1,4.32,3.68,3.87,6.63,0.59,0.18,1.03,1.47,3.58,421.75,1612.4896880000001,0
iPhone 11,Cat3,7.88,2.3,3.56,1.65,5.26,7.52,8.48,2.94,4.54,579.47,1035.308874,0
Fridge,Cat1,5.43,4.85,2.32,9.3,4.5,3.04,6.64,9.15,9.02,394.01,1970.976852,1
TV,Cat4,4.85,3.71,4.67,4.56,0.22,5.98,0.41,2.64,5.64,490.77,1389.509204,0
TV,Cat4,7.19,3.57,8.88,8.16,3.73,3.08,8.04,1.28,5.2,831.24,2433.5211200000003,1
Toaster,Cat2,3.56,6.97,2.43,5.14,7.31,8.27,9.28,2.85,3.42,309.38,1221.396242,0
Smartphone,Cat3,4.44,2.36,2.94,7.4,9.72,9.76,8.21,3.93,2.56,377.36,1663.269606,0
Washing Machine,Cat1,4.28,9.01,5.35,7.48,6.69,8.58,1.29,3.23,0.65,502.38,1867.098295,1
iPhone 11,Cat3,5.49,0.9,8.92,4.99,7.0,3.26,7.08,9.24,1.34,748.37,1837.551394,1
Iron,Cat2,0.3,5.11,2.05,4.33,4.8,2.7,9.52,1.13,9.27,127.63,860.948557,0
Smartphone,Cat3,2.76,9.52,9.2,5.46,5.47,5.39,2.21,9.46,1.11,634.19,1771.9953409999996,1
Audio Equipment,Cat4,4.84,6.19,9.48,6.52,3.21,3.94,1.94,9.09,4.59,749.43,2084.6793089999996,1
Vacuum Cleaner,Cat2,5.43,0.12,0.18,4.59,2.59,9.95,3.38,7.96,3.01,276.74,1063.2437109999998,0
TV,Cat4,5.23,5.9,4.25,7.51,1.91,1.19,0.42,3.84,8.81,488.13,1838.256091,1
Air Conditioner,Cat1,3.22,8.81,8.15,0.67,2.72,5.51,0.56,9.65,8.7,600.09,972.2768299999999,0
Vacuum Cleaner,Cat2,9.87,8.96,0.73,5.38,4.05,0.98,8.36,1.16,6.45,529.3,1513.691685,0
Toaster,Cat2,0.68,1.45,8.73,1.14,9.42,0.37,2.26,6.27,7.57,502.14,927.5959570000001,0
Toaster,Cat2,8.02,2.33,4.09,7.2,1.58,0.78,7.05,2.05,4.93,614.59,1946.888923,1
Vacuum Cleaner,Cat2,3.35,4.55,5.19,0.72,2.49,8.76,3.67,1.53,1.6,445.5,744.3951900000001,0
Fridge,Cat1,5.54,3.88,8.59,1.65,1.41,4.62,1.45,0.99,4.86,734.8,1298.9046959999998,0
Speaker,Cat4,9.46,0.42,6.43,5.05,5.03,3.03,7.34,3.1,0.53,809.72,1890.7869629999996,1
iPhone 11,Cat3,2.12,6.91,2.94,6.75,8.48,3.68,1.63,8.58,7.08,265.84,1422.7145879999998,0
Tablet,Cat3,5.21,2.11,4.51,0.79,9.78,3.38,9.83,3.22,2.33,499.06,813.199933,0
Iron,Cat2,7.92,4.91,0.19,7.19,1.9,1.19,3.97,7.96,1.88,402.2,1625.689678,0
Tablet,Cat3,1.83,9.68,6.5,2.32,5.1,1.94,1.26,7.32,0.32,443.85,1008.9489320000002,0
Smartphone,Cat3,4.98,4.29,4.1,2.43,8.04,8.96,9.75,3.75,6.71,467.12,1022.1548210000001,0
Speaker,Cat4,7.09,7.25,4.41,0.32,5.12,7.95,2.94,5.51,0.42,589.04,853.683862,0
Smartphone,Cat3,7.23,4.13,2.02,1.13,9.49,3.12,2.76,5.99,4.66,466.04,791.2788360000002,0
Speaker,Cat4,3.25,2.66,5.0,7.28,1.99,8.36,3.34,4.63,1.13,429.3,1737.792783,0
Vacuum Cleaner,Cat2,3.04,8.28,1.76,3.82,7.03,2.04,0.84,2.15,2.33,248.56,931.2166229999999,0
Fridge,Cat1,8.92,6.87,3.45,9.42,9.54,6.18,4.72,1.09,8.12,627.33,2299.552882,1
Tablet,Cat3,5.66,6.12,6.69,3.78,4.61,7.71,5.7,4.63,0.82,640.28,1484.9437819999998,0
Tablet,Cat3,9.81,9.95,6.92,3.33,8.72,9.76,3.18,5.91,4.5,858.81,1694.8778800000002,0
Fridge,Cat1,8.49,4.91,1.88,4.7,2.73,8.98,9.7,6.62,8.13,520.92,1412.3070530000005,0
Fridge,Cat1,5.77,6.28,7.28,7.74,1.08,9.52,9.25,8.9,8.4,677.38,2153.55814,1
Tablet,Cat3,1.66,5.89,3.23,5.5,9.3,7.97,7.04,1.04,8.86,258.29,1223.1643960000001,0
Iron,Cat2,8.82,3.31,1.88,2.65,7.78,0.53,5.69,5.62,0.64,536.13,1113.257234,0
Toaster,Cat2,6.31,7.59,9.66,8.26,4.84,1.75,6.31,8.85,1.9,832.09,2461.43783,1
TV,Cat4,6.92,3.49,5.46,9.21,3.56,2.07,2.82,2.64,4.09,634.66,2302.3400590000006,1
Audio Equipment,Cat4,1.21,2.15,0.49,6.95,8.76,4.43,9.97,2.15,1.94,87.15,1194.432654,0
Vacuum Cleaner,Cat2,7.72,5.63,8.64,2.35,0.97,2.0,6.72,3.67,6.92,845.55,1548.254302,0
Audio Equipment,Cat4,9.26,9.19,8.87,3.22,8.72,9.14,7.57,7.83,8.14,935.82,1800.9942239999998,1
Smartphone,Cat3,0.41,4.09,5.56,6.5,7.68,8.62,5.33,0.66,7.76,320.67,1487.6549160000002,0
Vacuum Cleaner,Cat2,7.6,6.49,9.11,8.15,9.42,8.07,2.33,2.41,2.04,865.56,2478.9967639999995,1
Speaker,Cat4,4.98,4.83,9.87,8.31,6.03,9.03,5.47,1.18,8.21,776.56,2401.3450310000007,1
Tablet,Cat3,3.21,9.34,2.4,5.08,3.58,2.01,9.23,4.92,6.82,291.76,1189.9499720000003,0
Toaster,Cat2,5.19,6.76,3.32,0.67,5.52,1.74,5.57,6.33,0.19,436.89,701.2146290000001,0
Vacuum Cleaner,Cat2,0.7,9.18,4.32,5.61,4.06,8.03,6.56,5.63,1.77,271.33,1272.0248569999999,0
Laptop,Cat3,0.15,3.96,8.3,5.62,7.0,7.26,9.24,2.35,0.95,454.59,1556.945605,0
Monitor,Cat4,3.34,6.19,1.95,1.46,9.4,9.46,8.87,5.01,3.47,272.45,597.813697,0
Fridge,Cat1,1.41,5.11,5.43,5.21,2.43,5.12,9.47,9.23,7.04,363.28,1340.009234,0
Washing Machine,Cat1,2.7,1.68,8.36,9.13,5.32,9.55,5.77,7.41,3.96,581.82,2261.808776,1
Tablet,Cat3,3.39,7.93,1.25,2.29,8.69,9.18,2.24,4.91,0.88,238.38,674.414558,0
Tablet,Cat3,2.13,4.26,5.7,5.92,1.52,8.64,9.56,1.63,4.89,412.69,1515.8395790000002,0
Tablet,Cat3,7.93,9.06,9.55,2.05,8.94,8.82,8.64,8.35,6.59,906.83,1592.148369,0
Monitor,Cat4,7.26,4.93,4.58,4.61,0.82,5.22,6.15,6.55,3.84,605.06,1540.614354,0
TV,Cat4,8.92,6.31,1.23,9.84,2.61,4.34,3.55,2.85,3.33,507.93,2184.1061830000003,1
iPhone 11,Cat3,6.14,9.27,1.21,0.67,5.28,8.61,8.76,9.37,7.75,372.07,591.859675,0
Speaker,Cat4,1.94,8.26,3.27,7.7,9.4,3.57,4.5,1.76,6.43,275.46,1586.843933,0
Iron,Cat2,2.56,1.84,3.65,0.35,3.27,6.01,1.41,3.95,1.49,322.57,510.654109,0
Air Conditioner,Cat1,4.04,9.79,2.87,4.76,5.37,2.94,4.18,1.41,4.18,358.03,1230.2989879999998,0
Toaster,Cat2,6.21,3.01,3.28,4.63,2.83,0.61,7.59,7.07,6.54,482.66,1371.393514,0
Microwave Oven,Cat2,4.3,8.34,4.73,4.95,4.29,6.28,3.62,0.58,8.07,469.68,1425.2334469999996,0
Microwave Oven,Cat2,0.8,3.24,3.53,7.99,4.11,1.15,4.64,1.01,7.35,230.39,1577.229375,0
Microwave Oven,Cat2,2.69,1.72,0.86,7.0,9.48,7.85,8.18,3.37,6.33,179.52,1323.612593,0
Speaker,Cat4,5.09,1.68,5.97,7.68,3.72,8.61,0.31,3.42,4.77,571.16,1991.5115469999998,1
Vacuum Cleaner,Cat2,8.46,9.52,3.12,8.06,7.33,1.15,2.52,5.32,9.22,588.44,2035.8010120000001,1
Iron,Cat2,0.1,5.39,9.94,9.46,9.7,0.39,4.65,5.69,3.95,540.74,2283.021235,1
Iron,Cat2,9.21,0.18,6.22,4.85,1.48,4.57,2.87,6.5,4.45,786.03,1826.9928350000002,1
Vacuum Cleaner,Cat2,2.47,3.12,1.24,5.85,2.51,8.27,0.4,1.18,7.83,189.78,1163.621213,0
Audio Equipment,Cat4,0.32,4.4,1.8,4.61,3.03,9.05,4.84,5.28,5.34,114.9,884.7976440000001,0
Laptop,Cat3,4.56,3.36,7.35,9.93,8.55,8.94,0.23,6.21,7.25,620.09,2420.8830349999994,1
Fridge,Cat1,9.88,6.36,8.77,8.85,0.66,9.52,7.17,0.88,5.79,959.2,2701.137299,1
Washing Machine,Cat1,1.0,9.36,3.58,5.48,8.16,7.22,5.38,1.66,7.56,246.57,1210.7274360000001,0
Toaster,Cat2,1.02,3.76,2.26,4.7,9.57,1.03,1.55,6.36,7.83,173.52,978.616713,0
Microwave Oven,Cat2,5.77,3.73,1.39,2.07,6.32,1.46,0.52,0.96,0.19,360.25,794.8945789999998,0
Speaker,Cat4,3.37,2.21,7.17,2.11,9.85,3.23,6.54,3.31,8.89,551.23,1119.232689,0
Fridge,Cat1,5.86,7.88,6.28,3.15,5.94,3.57,4.04,4.66,8.32,629.09,1368.0240219999996,0
Laptop,Cat3,1.94,6.07,8.87,5.88,1.0,10.0,3.1,6.83,5.35,574.27,1756.3227249999998,1
Laptop,Cat3,1.54,2.71,8.06,1.97,6.9,1.96,5.94,1.01,2.75,509.22,1056.527965,0
Vacuum Cleaner,Cat2,8.65,7.89,2.18,0.72,2.25,8.93,2.98,1.3,8.73,546.55,832.351223,0
Iron,Cat2,8.25,6.4,2.78,9.28,3.49,3.39,9.19,8.68,6.93,558.11,2181.471703,1
Toaster,Cat2,3.52,6.16,3.93,4.98,0.99,4.11,4.67,7.37,7.93,387.15,1314.5543930000001,0
Air Conditioner,Cat1,5.9,7.99,3.84,0.18,4.44,1.61,7.98,4.63,3.08,500.32,712.573508,0
iPhone 11,Cat3,3.79,9.38,1.03,5.89,4.75,5.04,2.63,1.1,6.37,246.95,1240.558317,0
Iron,Cat2,2.03,3.22,8.65,6.96,1.65,0.81,2.05,1.04,6.24,565.1,1908.453774,1
Iron,Cat2,8.99,4.24,0.81,9.17,5.14,6.23,9.64,6.96,9.02,487.75,2048.8035720000003,1
Iron,Cat2,5.54,4.2,3.51,3.23,0.99,0.82,0.98,9.48,3.9,462.72,1132.5154699999998,0
Microwave Oven,Cat2,1.41,7.24,5.84,4.11,6.86,9.95,5.46,8.25,2.56,386.62,1204.930356,0
Vacuum Cleaner,Cat2,1.01,1.9,7.12,7.79,0.2,7.69,3.67,7.13,4.51,432.36,1848.9182510000003,1
iPhone 11,Cat3,4.24,4.58,8.31,9.93,2.17,0.22,3.23,0.14,0.36,656.25,2479.5765359999996,1
Toaster,Cat2,6.62,7.07,9.49,8.87,3.28,7.32,8.2,8.69,8.0,838.0,2561.1223699999996,1
Iron,Cat2,2.66,3.07,2.83,4.62,0.23,8.77,6.8,2.32,7.27,284.26,1113.5493370000002,0
Iron,Cat2,1.03,1.11,9.44,1.62,5.88,9.62,6.12,1.16,0.35,557.31,1081.154755,0
Laptop,Cat3,6.29,3.59,5.99,2.7,4.83,8.07,3.43,2.37,8.31,632.29,1297.482851,0
Smartphone,Cat3,5.7,0.59,9.93,6.87,5.56,5.48,2.1,9.24,0.97,812.65,2223.4744370000003,1
Iron,Cat2,4.39,7.64,8.66,9.16,7.21,8.22,5.31,9.86,0.38,684.35,2401.1923780000006,1
Audio Equipment,Cat4,5.97,0.29,0.29,7.47,4.81,6.53,9.55,8.88,3.93,309.24,1552.1992030000001,0
iPhone 11,Cat3,5.38,9.51,4.69,4.57,1.4,2.21,2.73,6.31,7.77,521.16,1430.985097,0
Stove,Cat1,2.12,4.7,6.05,7.98,8.23,8.14,1.44,5.22,9.02,431.29,1863.3056020000001,1
Smartphone,Cat3,9.15,0.66,8.41,2.64,7.77,5.94,2.43,8.9,4.39,900.81,1658.7291790000002,0
Iron,Cat2,0.83,3.22,0.84,4.7,6.77,4.35,7.68,3.67,4.15,87.81,851.427995,0
Microwave Oven,Cat2,0.6,5.81,8.3,7.58,8.11,2.66,7.03,8.77,2.21,477.7,1890.2641510000003,1
Speaker,Cat4,8.96,0.64,3.86,9.28,3.54,8.85,9.54,1.59,6.7,647.66,2307.6636900000003,1
Stove,Cat1,2.11,3.69,3.85,4.41,2.8,0.89,3.41,4.57,7.45,312.13,1129.860645,0
Smartphone,Cat3,9.97,1.13,1.57,8.91,2.09,3.67,9.36,9.93,5.44,574.75,2127.7348840000004,1
Vacuum Cleaner,Cat2,1.57,0.35,9.19,3.09,6.71,7.26,6.54,2.89,2.69,569.98,1321.4602789999997,0
Washing Machine,Cat1,0.24,8.98,5.29,7.03,2.01,2.42,4.21,4.81,0.97,300.45,1541.7320870000003,0
Tablet,Cat3,7.48,5.6,4.93,1.66,3.07,3.34,8.6,5.43,8.82,635.01,1125.9958520000002,0
Tablet,Cat3,8.68,9.31,7.67,9.32,1.17,5.33,4.22,1.14,1.15,842.92,2613.1256249999997,1
Washing Machine,Cat1,1.39,4.29,0.86,9.34,5.74,0.32,3.42,9.95,4.24,116.92,1607.800694,0
Iron,Cat2,7.53,4.18,0.56,9.05,7.05,3.04,1.3,2.88,6.4,402.55,1919.1931,1
Iron,Cat2,6.89,3.05,2.06,2.33,5.47,9.61,3.15,4.13,1.35,450.93,958.5534150000001,0
Tablet,Cat3,8.22,3.9,7.8,7.84,0.87,2.08,7.47,5.76,9.13,824.12,2360.5371330000003,1
Tablet,Cat3,2.98,8.08,9.36,1.6,9.72,5.21,2.7,9.3,7.61,652.81,1199.0039510000001,0
Tablet,Cat3,3.72,2.89,7.28,4.89,2.93,1.06,9.07,1.32,9.98,574.57,1581.217018,0
iPhone 11,Cat3,4.05,6.03,9.56,0.27,6.57,9.13,3.9,3.97,6.21,714.95,1073.517381,0
Toaster,Cat2,1.5,3.36,8.88,9.79,9.11,1.37,7.36,9.01,3.42,551.58,2333.246882,1
Laptop,Cat3,7.2,7.49,7.83,6.56,9.26,8.9,2.81,7.46,5.93,777.91,2105.062573,1
Monitor,Cat4,9.96,3.48,8.19,9.25,9.46,5.62,2.84,1.51,1.54,930.45,2718.360504,1
Toaster,Cat2,4.49,4.83,4.08,2.68,8.28,7.05,3.43,5.61,9.41,442.25,1029.289121,0
Stove,Cat1,2.04,8.5,2.24,3.88,0.66,5.85,3.55,0.37,2.27,225.25,917.643867,0
Iron,Cat2,3.26,1.33,5.73,5.28,7.63,9.47,2.9,6.52,4.26,468.25,1486.418136,0
Toaster,Cat2,4.52,3.31,7.3,9.36,1.09,3.45,3.45,5.11,7.07,615.21,2325.6754070000006,1
Washing Machine,Cat1,7.6,2.02,6.2,5.14,4.02,6.16,0.51,0.18,9.46,706.96,1772.3022459999997,1
Toaster,Cat2,0.54,5.82,4.45,2.05,5.06,8.79,4.12,6.46,8.62,268.54,717.659832,0
Air Conditioner,Cat1,5.38,9.44,9.32,8.76,0.64,5.97,1.63,8.0,6.45,769.26,2455.500735,1
iPhone 11,Cat3,2.18,5.65,5.43,4.74,9.26,7.45,3.34,4.82,6.57,401.57,1315.525227,0
Audio Equipment,Cat4,3.37,4.82,8.59,9.08,7.98,7.94,9.34,8.86,9.54,628.87,2317.254274,1
Smartphone,Cat3,5.08,9.13,7.36,8.16,3.36,7.99,3.24,8.2,4.81,649.39,2184.981611,1
Iron,Cat2,2.68,4.8,0.18,1.67,3.41,7.72,7.77,6.46,3.14,144.27,444.57907399999993,0
Microwave Oven,Cat2,1.98,9.16,5.06,9.77,6.54,7.66,4.08,3.13,8.31,373.89,2056.101681,1
Vacuum Cleaner,Cat2,8.18,5.36,3.23,5.76,5.81,1.42,0.58,1.75,1.38,578.18,1666.8457879999996,0
Microwave Oven,Cat2,1.68,7.44,3.31,3.97,5.9,3.32,2.91,0.28,3.77,264.31,994.939897,0
Washing Machine,Cat1,9.75,0.17,8.59,6.9,7.09,0.53,9.55,9.68,9.36,939.54,2370.241186,1
Speaker,Cat4,7.07,8.14,3.92,1.95,0.81,1.6,9.72,6.15,5.97,562.13,1066.0460669999998,0
