Item,Category,Gold,Silver,Platinum,Rhodium,Nickel,Tin,Lithium,Aluminum,Carbon,Profit ($),Total_Metals,Avg_Metal_Value,Profit_per_Metal,Precious_Ratio,Recovery_Status
Tablet,2,9.94,3.31,6.99,6.5,6.88,8.83,2.24,4.5,5.57,865.1,41.510000000000005,5.930000000000001,20.84076126234642,0.3249819320645627,1
Air Conditioner,0,5.69,8.34,8.32,8.77,4.28,9.62,0.82,1.09,4.34,730.4,37.24000000000001,5.320000000000001,19.613319011815246,0.45891514500537045,1
Air Conditioner,0,7.82,0.95,2.66,6.59,1.82,8.91,4.27,3.95,9.91,527.5,38.11,5.444285714285714,13.841511414326948,0.24271844660194175,1
Monitor,3,3.3,5.51,7.93,4.93,1.23,6.28,6.67,0.31,8.64,590.34,35.989999999999995,5.141428571428571,16.402889691581,0.3573214781883857,1
Washing Machine,0,0.6,2.72,9.56,6.41,9.59,8.76,6.34,9.44,6.33,543.57,56.42999999999999,8.06142857142857,9.632642211589582,0.28300549353180937,1
Laptop,2,6.69,8.51,8.13,6.22,6.53,2.92,5.35,0.88,3.72,769.36,33.75000000000001,4.821428571428572,22.795851851851847,0.4251851851851851,1
Washing Machine,0,9.27,9.34,7.88,9.75,5.8,1.64,0.51,9.9,5.8,883.17,41.28,5.897142857142858,21.394622093023255,0.4270833333333333,1
Monitor,3,1.9,6.93,6.39,1.77,0.24,8.23,0.94,7.05,8.69,439.87,33.31,4.758571428571429,13.205343740618432,0.2449714800360252,1
Audio Equipment,3,4.92,6.0,6.72,4.88,6.08,6.24,9.36,7.98,8.52,605.45,49.78,7.111428571428571,12.162515066291684,0.2330253113700281,1
Monitor,3,3.65,9.97,7.98,6.18,0.25,7.85,0.39,1.93,1.66,612.79,26.24,3.748571428571428,23.35327743902439,0.5396341463414634,1
Vacuum Cleaner,1,2.35,8.1,5.08,0.16,7.01,9.44,1.97,7.61,5.54,392.58,36.809999999999995,5.258571428571428,10.665036674816626,0.14235262157022552,1
Fridge,0,8.36,4.42,3.5,6.0,5.3,5.45,9.38,9.13,7.12,601.02,45.88,6.554285714285714,13.099825632083695,0.2070619006102877,1
iPhone 11,2,4.3,1.01,2.24,8.47,5.11,8.53,5.67,1.58,6.84,332.12,38.44,5.491428571428571,8.639958376690947,0.27861602497398547,1
Toaster,1,9.05,0.5,6.81,2.57,8.3,9.71,2.18,8.28,7.08,810.15,44.93,6.418571428571428,18.03138215001113,0.20876919652793233,1
Speaker,3,0.1,9.64,8.13,5.06,0.99,6.69,5.7,6.57,2.28,446.19,35.42,5.0600000000000005,12.597120271033313,0.37238848108413325,1
Smartphone,2,1.7,4.88,8.92,2.39,0.26,7.3,9.75,6.47,1.27,564.41,36.36000000000001,5.194285714285715,15.522827282728269,0.311056105610561,1
Audio Equipment,3,1.68,4.3,0.69,0.17,5.12,6.54,4.38,5.86,8.3,122.18,31.06,4.437142857142857,3.933676754668384,0.027688345138441726,0
Washing Machine,0,2.97,1.11,1.81,0.46,3.39,5.63,8.37,7.09,5.21,243.7,31.959999999999997,4.565714285714285,7.6251564455569465,0.07102628285356696,0
Speaker,3,5.01,3.14,8.49,8.99,7.57,1.41,7.91,8.75,2.41,703.01,45.53,6.5042857142857144,15.44058862288601,0.38392268833736,1
Iron,1,3.66,6.48,0.71,3.89,7.92,4.73,3.93,9.31,7.67,221.79,38.160000000000004,5.451428571428572,5.812106918238993,0.12054507337526203,0
Fridge,0,7.99,7.42,4.63,9.1,1.6,9.94,2.47,1.98,8.31,645.14,38.03,5.432857142857143,16.96397580857218,0.36103076518537996,1
Audio Equipment,3,0.86,3.89,2.54,2.55,2.52,1.19,9.94,1.74,0.74,180.64,21.219999999999995,3.0314285714285707,8.512723845428843,0.23986804901036762,0
Stove,0,1.16,9.26,3.42,2.86,6.02,5.53,6.46,9.08,3.44,245.74,36.809999999999995,5.258571428571428,6.675903287150232,0.1706058136375985,0
Laptop,2,9.04,8.74,3.03,0.11,9.58,4.53,3.92,0.12,8.18,611.77,29.470000000000002,4.21,20.759077027485578,0.10654903291482862,1
Washing Machine,0,7.64,4.39,2.49,7.84,9.81,3.06,8.07,9.08,4.54,511.53,44.89,6.412857142857143,11.395188237914903,0.23011806638449545,1
Laptop,2,5.66,3.67,6.64,0.81,3.06,7.5,1.49,4.55,1.6,636.17,25.65,3.664285714285714,24.801949317738792,0.290448343079922,1
Smartphone,2,5.45,1.13,2.03,7.14,2.61,8.88,4.74,9.12,1.2,377.41,35.72,5.102857142857142,10.565789473684212,0.2567189249720045,1
Toaster,1,1.23,5.44,3.26,1.74,6.02,2.62,1.17,5.87,7.61,238.36,28.29,4.041428571428571,8.425592082007777,0.17674089784376104,0
Monitor,3,1.89,0.95,5.68,1.67,8.15,2.47,5.68,1.24,6.82,397.91,31.709999999999997,4.529999999999999,12.548407442447179,0.2317880794701987,1
Iron,1,8.47,6.6,0.37,7.19,3.69,9.7,6.01,9.27,7.96,440.02,44.190000000000005,6.312857142857143,9.957456438108167,0.1710794297352342,1
Fridge,0,6.57,5.83,6.84,5.99,2.43,9.67,4.84,2.14,8.01,692.87,39.92,5.702857142857143,17.3564629258517,0.32139278557114226,1
Toaster,1,5.07,7.55,6.48,6.65,2.74,3.56,1.78,6.77,9.26,600.76,37.24,5.32,16.132116004296453,0.35257787325456497,1
TV,3,2.74,6.92,3.16,6.91,6.26,0.2,3.31,9.46,8.64,308.01,37.94,5.42,8.118344754876121,0.26541908276225623,1
TV,3,9.28,4.14,5.01,0.71,1.44,3.82,6.81,3.24,0.21,726.89,21.240000000000002,3.0342857142857147,34.22269303201506,0.2693032015065913,1
Stove,0,0.18,9.65,9.6,1.9,4.05,4.75,7.18,7.06,0.73,528.9,35.269999999999996,5.038571428571428,14.995747093847463,0.32605613836121355,1
Washing Machine,0,8.44,4.98,6.16,9.41,4.59,6.93,2.19,5.94,2.95,747.81,38.17,5.452857142857143,19.591564055541,0.4079119727534713,1
iPhone 11,2,4.77,4.15,2.78,7.76,3.19,4.03,1.16,3.98,2.11,385.83,25.009999999999998,3.5728571428571425,15.42702918832467,0.4214314274290284,1
Smartphone,2,4.26,7.7,7.31,8.06,4.93,7.9,7.65,8.9,7.6,605.62,52.35,7.478571428571429,11.568672397325692,0.2936007640878701,1
Speaker,3,6.18,7.05,1.62,7.95,2.18,6.4,0.62,7.98,5.69,394.65,32.44,4.634285714285714,12.16553637484587,0.29500616522811346,1
iPhone 11,2,9.28,8.13,1.0,8.16,9.06,2.01,1.35,9.6,4.05,514.39,35.23,5.032857142857142,14.600908316775476,0.2600056769798467,1
Toaster,1,6.65,7.39,1.48,6.72,7.98,4.05,7.5,4.56,1.17,410.48,33.46,4.78,12.267782426778243,0.24506873879258814,1
Toaster,1,7.64,8.25,7.7,4.56,7.59,2.6,7.48,5.51,1.19,792.85,36.63,5.232857142857143,21.644826644826644,0.33469833469833465,1
Smartphone,2,9.32,5.99,4.95,5.87,0.89,3.92,2.94,6.33,6.44,726.69,31.34,4.477142857142857,23.187300574345887,0.3452456924058711,1
Monitor,3,5.66,3.23,0.74,2.6,7.71,4.35,0.35,3.85,8.23,319.8,27.830000000000002,3.975714285714286,11.491196550485087,0.12001437297879984,1
Smartphone,2,6.6,9.56,1.74,6.81,6.53,5.84,2.39,9.93,1.25,423.21,34.489999999999995,4.927142857142856,12.270513192229632,0.24789794143229923,1
Laptop,2,4.41,9.59,6.02,4.2,9.45,8.61,1.71,5.11,4.48,545.03,39.58,5.654285714285714,13.770338554825669,0.258211217786761,1
Smartphone,2,0.18,0.97,3.33,1.21,5.01,1.8,8.96,1.26,6.03,187.93,27.600000000000005,3.9428571428571435,6.809057971014492,0.16449275362318838,0
Audio Equipment,3,9.34,7.15,7.93,9.32,8.64,1.74,0.65,3.49,8.44,888.08,40.209999999999994,5.744285714285714,22.086048246704806,0.42899776175080834,1
Audio Equipment,3,8.2,7.97,2.2,9.7,1.18,6.58,7.74,0.32,3.31,525.5,31.029999999999998,4.432857142857142,16.93522397679665,0.3834998388656139,1
iPhone 11,2,4.21,3.17,3.86,4.17,9.44,7.31,3.58,8.46,8.92,415.77,45.74,6.534285714285715,9.089855706165281,0.17555749890686487,1
TV,3,3.03,2.27,0.29,6.03,4.3,0.17,4.28,4.4,1.1,165.78,20.57,2.9385714285714286,8.059309674282936,0.307243558580457,0
Smartphone,2,3.26,9.25,9.28,8.22,7.92,0.17,1.73,9.84,3.41,662.83,40.57000000000001,5.795714285714287,16.337934434311066,0.43135321666255844,1
Audio Equipment,3,0.29,6.38,8.22,4.05,3.56,3.84,4.72,6.1,8.34,458.46,38.83,5.547142857142857,11.806850373422611,0.3159927890806078,1
Air Conditioner,0,6.99,2.4,7.87,9.02,5.24,1.11,5.47,2.28,2.63,766.61,33.620000000000005,4.802857142857143,22.80220107079119,0.5023795359904818,1
Smartphone,2,3.27,0.69,4.74,4.76,4.89,9.39,9.3,2.72,9.18,415.29,44.98,6.425714285714285,9.232770120053358,0.21120497999110718,1
Laptop,2,6.59,7.66,8.62,1.6,2.86,1.41,4.6,9.87,0.12,790.13,29.079999999999995,4.154285714285714,27.17090784044017,0.35144429160935353,1
Iron,1,8.82,3.13,9.64,6.07,9.93,3.89,0.24,7.88,5.4,951.91,43.05,6.1499999999999995,22.11173054587689,0.36492450638792107,1
Microwave Oven,1,9.93,5.33,8.88,2.0,6.58,1.93,4.16,0.89,6.51,966.9,30.950000000000003,4.421428571428572,31.240710823909527,0.3515347334410339,1
Smartphone,2,9.1,2.26,7.18,3.87,2.22,0.5,5.93,7.61,2.25,833.18,29.560000000000002,4.222857142857143,28.186062246278752,0.3738159675236806,1
Smartphone,2,7.0,3.69,8.7,0.62,6.12,2.18,4.86,7.72,5.33,812.35,35.529999999999994,5.075714285714285,22.863777089783287,0.2623135378553335,1
Monitor,3,5.96,0.16,2.15,5.37,2.28,6.79,3.18,6.71,6.17,408.3,32.65,4.664285714285714,12.505359877488516,0.23032159264931087,1
Monitor,3,4.2,2.93,3.05,4.35,6.1,9.0,5.82,9.74,5.66,371.72,43.72,6.2457142857142856,8.502287282708144,0.16925892040256174,1
Smartphone,2,0.37,2.99,9.36,1.25,6.31,0.96,8.68,6.41,4.28,521.52,37.25,5.321428571428571,14.000536912751677,0.2848322147651007,1
Washing Machine,0,5.61,3.9,4.84,7.32,4.47,5.47,7.19,6.8,4.29,537.38,40.379999999999995,5.768571428571428,13.308073303615652,0.30113917781079746,1
Microwave Oven,1,4.78,3.3,9.22,7.14,3.45,3.25,7.58,3.25,7.91,730.89,41.8,5.971428571428571,17.485406698564596,0.39138755980861245,1
Audio Equipment,3,9.31,4.09,6.95,0.18,0.68,1.97,7.53,1.65,2.75,832.23,21.709999999999997,3.101428571428571,38.33394748963612,0.3284200829111009,1
Audio Equipment,3,0.9,2.49,8.19,2.66,9.24,5.11,3.57,5.17,6.2,484.7,40.14,5.734285714285714,12.075236671649227,0.27030393622321874,1
Fridge,0,9.01,8.11,5.12,2.63,4.61,7.37,5.08,4.33,8.08,721.9,37.22,5.317142857142857,19.395486297689413,0.20822138635142398,1
TV,3,5.85,7.82,4.91,3.29,6.04,9.97,9.77,0.79,8.36,555.28,43.13,6.161428571428572,12.874565267795036,0.19012288430326915,1
TV,3,5.48,5.51,8.21,5.2,0.73,5.85,1.69,6.01,7.81,712.44,35.50000000000001,5.071428571428572,20.068732394366194,0.37774647887323937,1
Monitor,3,4.82,6.56,6.1,6.53,5.05,1.85,2.68,5.02,5.94,567.54,33.17,4.738571428571428,17.110039192041,0.3807657521857099,1
Vacuum Cleaner,1,3.22,0.8,3.35,1.81,0.6,5.39,8.38,1.99,7.39,338.28,28.91,4.13,11.701141473538566,0.17848495330335523,1
Tablet,2,9.62,5.4,2.31,3.31,9.87,0.53,1.03,2.91,7.13,599.7,27.09,3.87,22.13732004429679,0.20745662606127724,1
Iron,1,9.86,7.85,3.88,1.47,4.65,7.7,8.56,0.81,5.76,697.08,32.83,4.6899999999999995,21.233018580566558,0.16296070667072798,1
Microwave Oven,1,0.4,4.53,1.14,1.98,5.98,8.86,4.44,0.19,9.16,83.58,31.750000000000004,4.5357142857142865,2.6324409448818895,0.09826771653543306,0
Speaker,3,4.48,1.23,4.52,6.36,0.3,6.38,2.31,5.64,8.74,463.14,34.25,4.892857142857143,13.522335766423357,0.3176642335766423,1
Microwave Oven,1,6.41,5.99,0.35,4.04,8.91,7.38,2.29,1.64,0.91,337.41,25.52,3.6457142857142855,13.22139498432602,0.1720219435736677,1
Stove,0,5.84,4.67,1.88,5.86,8.11,4.95,0.69,9.56,4.72,390.57,35.77,5.11,10.918926474699468,0.21638244338831422,1
Stove,0,0.17,0.54,1.2,9.61,7.81,9.17,0.31,9.97,6.41,73.24,44.480000000000004,6.354285714285715,1.6465827338129493,0.2430305755395683,0
Audio Equipment,3,4.23,6.41,1.62,2.08,7.21,1.59,7.31,0.85,3.73,298.45,24.39,3.4842857142857144,12.236572365723656,0.15170151701517015,0
TV,3,6.39,8.89,3.68,9.32,6.94,2.73,7.81,3.94,3.9,516.4,38.32,5.474285714285714,13.47599164926931,0.33924843423799583,1
Iron,1,3.38,1.12,7.36,6.69,0.24,7.0,6.1,8.05,7.14,561.21,42.58,6.082857142857143,13.1801315171442,0.32996712071395023,1
Microwave Oven,1,5.78,4.28,4.07,7.19,8.21,0.15,9.32,9.43,0.43,504.65,38.800000000000004,5.542857142857144,13.00644329896907,0.29020618556701033,1
iPhone 11,2,9.98,2.36,2.89,2.46,8.51,0.84,6.29,0.85,5.57,646.71,27.41,3.915714285714286,23.593943816125503,0.19518423932871212,1
Toaster,1,1.6,4.2,9.32,3.79,2.08,1.63,8.12,2.82,2.87,580.46,30.63,4.3757142857142854,18.95070192621613,0.42801175318315376,1
Air Conditioner,0,2.07,9.96,5.08,0.82,8.17,5.89,5.19,0.64,6.17,379.83,31.96,4.565714285714286,11.884543178973717,0.18460575719649563,1
Laptop,2,4.05,1.69,8.94,4.21,1.89,9.64,9.84,4.58,8.14,679.19,47.239999999999995,6.748571428571428,14.377434377646065,0.27836579170194753,1
Stove,0,8.75,6.34,3.51,7.29,3.56,6.16,1.83,6.91,9.15,621.81,38.410000000000004,5.4871428571428575,16.188752928924757,0.28117677688102055,1
Microwave Oven,1,0.56,5.77,8.93,6.54,1.63,1.91,7.97,1.76,7.05,509.36,35.79,5.112857142857143,14.231908354288908,0.4322436434758312,1
Microwave Oven,1,1.67,8.72,0.91,5.72,2.36,9.26,6.75,8.86,0.54,136.02,34.4,4.914285714285714,3.954069767441861,0.19273255813953488,0
Speaker,3,4.64,6.95,4.61,9.2,4.25,1.36,0.69,3.98,0.97,479.07,25.06,3.5799999999999996,19.116919393455706,0.5510774142059058,1
Air Conditioner,0,6.54,3.59,1.77,3.52,9.76,7.15,7.87,4.29,9.39,418.51,43.75000000000001,6.250000000000001,9.565942857142856,0.1209142857142857,1
Tablet,2,3.22,7.91,1.42,2.09,9.65,9.43,6.39,8.33,0.71,239.15,38.02,5.4314285714285715,6.290110468174644,0.09231983166754339,0
Iron,1,1.34,3.7,9.71,9.92,7.0,8.39,8.81,5.58,4.3,588.49,53.71,7.672857142857143,10.956805064233848,0.3654812884006703,1
Iron,1,4.87,7.75,9.83,0.33,9.74,2.76,5.65,6.84,9.81,770.62,44.959999999999994,6.422857142857142,17.140124555160146,0.22597864768683276,1
Fridge,0,8.47,6.66,4.32,6.16,9.95,4.58,0.22,9.26,5.88,651.69,40.37,5.767142857142857,16.14292791676988,0.2595987119147882,1
Air Conditioner,0,9.82,0.9,5.8,0.51,7.52,2.49,7.05,3.29,3.2,793.95,29.86,4.265714285714286,26.58908238446082,0.21131949095780309,1
Audio Equipment,3,9.5,5.72,1.24,2.29,8.29,7.54,1.28,1.07,2.78,536.77,24.490000000000002,3.4985714285714287,21.91792568395263,0.14414046549612086,1
Vacuum Cleaner,1,0.92,2.17,2.59,2.37,9.47,5.88,2.38,4.83,8.28,185.47,35.8,5.114285714285714,5.180726256983241,0.13854748603351957,0
Toaster,1,4.94,2.49,9.82,3.52,6.84,5.87,2.91,4.66,3.75,770.53,37.370000000000005,5.338571428571429,20.618945678351615,0.3569708322183569,1
Smartphone,2,9.4,1.77,8.24,3.59,7.85,5.69,8.98,8.11,2.4,904.62,44.86,6.408571428571428,20.165403477485512,0.2637093178778422,1
TV,3,1.75,8.51,2.36,2.3,1.74,3.26,2.67,2.9,2.04,217.4,17.27,2.467142857142857,12.588303416328895,0.2698320787492762,0
Air Conditioner,0,4.54,5.82,0.9,3.63,5.25,8.56,9.52,2.47,9.23,274.87,39.56,5.651428571428572,6.948179979777553,0.11450960566228513,0
Iron,1,2.49,2.1,9.84,0.86,7.64,3.72,3.41,9.52,0.97,650.97,35.959999999999994,5.137142857142856,18.10261401557286,0.2975528364849834,1
Smartphone,2,6.8,0.25,5.01,4.36,3.31,7.07,6.62,2.87,7.45,602.89,36.690000000000005,5.241428571428572,16.43199781956936,0.25538293813028073,1
Speaker,3,1.68,5.69,7.53,0.57,2.94,4.76,3.81,5.29,1.6,489.4,26.5,3.7857142857142856,18.467924528301886,0.30566037735849055,1
Tablet,2,5.59,7.19,7.88,6.03,1.77,4.82,0.19,9.58,7.18,701.12,37.45,5.3500000000000005,18.7214953271028,0.3714285714285714,1
Microwave Oven,1,2.34,8.01,2.77,7.15,9.15,7.41,9.15,5.03,8.14,268.25,48.800000000000004,6.971428571428572,5.496926229508197,0.20327868852459013,0
TV,3,7.23,0.51,4.48,3.86,7.23,7.43,2.15,7.05,7.33,595.83,39.529999999999994,5.647142857142856,15.072856058689606,0.21097900328864155,1
TV,3,2.95,4.08,8.53,7.38,9.52,5.04,0.59,0.21,4.72,604.56,35.99,5.1414285714285715,16.797999444290078,0.44206724090025007,1
Tablet,2,4.67,3.12,4.45,3.39,1.95,8.56,8.73,5.67,2.87,469.87,35.62,5.088571428571428,13.19118472768108,0.2201010668163953,1
Tablet,2,3.15,3.13,4.52,3.77,5.57,5.69,2.45,6.91,1.64,398.94,30.55,4.364285714285715,13.058592471358429,0.2713584288052373,1
Iron,1,5.15,2.89,10.0,4.4,4.92,3.3,5.01,4.95,6.28,790.65,38.86000000000001,5.5514285714285725,20.34611425630468,0.37056098816263505,1
Speaker,3,9.07,0.51,0.97,4.74,6.3,2.32,6.41,3.88,1.22,498.06,25.84,3.6914285714285713,19.274767801857585,0.2209752321981424,1
Vacuum Cleaner,1,3.59,4.38,8.61,3.15,8.25,4.66,1.04,1.73,3.49,640.44,30.93,4.418571428571428,20.706110572259945,0.3802133850630456,1
TV,3,0.31,6.08,5.13,5.4,0.15,5.61,1.65,5.13,1.43,293.69,24.5,3.5,11.98734693877551,0.429795918367347,0
Audio Equipment,3,5.75,9.68,0.41,3.84,2.89,7.29,8.14,8.84,4.28,310.22,35.69,5.098571428571428,8.69207060801345,0.11908097506304288,1
Speaker,3,1.33,5.33,6.58,4.2,2.2,5.08,5.84,2.92,4.65,421.09,31.47,4.4957142857142856,13.380680012710517,0.3425484588496982,1
Stove,0,3.61,3.36,7.34,4.73,5.41,5.35,5.69,9.55,9.43,572.77,47.5,6.785714285714286,12.058315789473683,0.2541052631578947,1
Smartphone,2,7.26,8.04,2.68,8.61,6.15,0.36,9.78,4.83,3.97,505.02,36.379999999999995,5.197142857142857,13.881803188565147,0.3103353490929082,1
Smartphone,2,0.99,0.37,3.19,2.92,2.72,7.4,4.52,7.97,8.26,219.96,36.98,5.282857142857142,5.948080043266631,0.1652244456462953,0
Microwave Oven,1,4.95,7.18,5.83,3.81,5.41,5.44,6.96,1.11,1.0,559.89,29.560000000000002,4.222857142857143,18.94079837618403,0.3261163734776725,1
Laptop,2,4.67,7.36,2.02,0.32,8.4,9.99,1.06,8.53,3.75,342.22,34.07,4.867142857142857,10.044614029938362,0.06868212503668916,1
iPhone 11,2,0.37,1.87,6.02,1.52,8.44,6.88,1.07,0.94,6.26,342.06,31.130000000000003,4.4471428571428575,10.988114359139093,0.24221008673305489,1
Toaster,1,6.76,9.85,0.65,7.92,1.7,0.23,0.23,8.97,9.42,372.66,29.120000000000005,4.160000000000001,12.79739010989011,0.2942994505494505,1
Audio Equipment,3,9.8,3.46,7.18,1.5,5.7,3.5,8.94,3.69,3.64,868.37,34.15,4.878571428571428,25.428111273792094,0.2541727672035139,1
Iron,1,5.99,9.36,0.29,6.01,6.5,5.83,8.87,5.7,1.58,315.43,34.78,4.968571428571429,9.069292696952271,0.18113858539390454,1
Washing Machine,0,7.25,2.28,5.85,1.04,2.39,1.42,8.84,0.21,3.17,671.05,22.92,3.2742857142857145,29.27792321116928,0.30061082024432806,1
iPhone 11,2,5.02,8.77,6.13,8.21,3.2,3.58,2.35,0.96,0.43,580.25,24.86,3.551428571428571,23.34070796460177,0.5768302493966211,1
Toaster,1,8.98,2.44,6.22,0.22,9.68,3.42,6.11,5.14,0.89,776.11,31.68,4.525714285714286,24.498421717171716,0.20328282828282826,1
Tablet,2,0.58,1.72,0.61,6.8,1.21,3.91,0.31,8.46,5.22,62.26,26.520000000000003,3.788571428571429,2.3476621417797885,0.2794117647058823,0
Washing Machine,0,7.42,3.47,8.03,6.02,1.24,5.27,7.68,7.62,3.04,796.95,38.9,5.557142857142857,20.487146529562985,0.3611825192802056,1
Audio Equipment,3,6.61,0.24,7.46,8.24,2.29,7.65,6.21,7.8,2.74,724.82,42.39,6.055714285714286,17.098844066996936,0.37037037037037035,1
Toaster,1,8.85,1.24,1.77,6.44,1.68,4.17,2.29,4.55,7.15,530.5,28.050000000000004,4.007142857142858,18.9126559714795,0.2926916221033868,1
Washing Machine,0,9.29,3.27,7.14,8.83,8.82,6.01,0.74,6.37,8.76,841.15,46.669999999999995,6.667142857142856,18.02335547460896,0.34218984358260124,1
Microwave Oven,1,1.8,2.57,6.36,4.75,0.83,2.72,5.08,4.92,9.81,430.75,34.470000000000006,4.924285714285715,12.496373658253551,0.3223092544241369,1
Vacuum Cleaner,1,5.0,5.25,5.65,1.81,5.25,7.04,3.2,9.59,6.44,551.63,38.98,5.5685714285714285,14.151616213442793,0.19138019497178044,1
Audio Equipment,3,1.15,9.28,1.72,3.29,9.67,9.17,7.47,4.69,7.57,154.29,43.58,6.225714285714285,3.5403854979348326,0.11496099128040385,0
Iron,1,2.93,1.5,6.83,1.14,4.91,8.88,9.32,3.34,9.4,511.02,43.82,6.26,11.66179826563213,0.18188041989958922,1
Fridge,0,8.48,0.42,7.56,1.72,0.45,1.04,6.88,5.84,2.01,822.01,25.5,3.642857142857143,32.2356862745098,0.36392156862745095,1
iPhone 11,2,1.26,3.43,1.19,0.27,7.95,1.32,7.17,9.55,2.04,127.77,29.49,4.212857142857143,4.33265513733469,0.049508307900983387,0
Toaster,1,2.95,0.38,7.54,9.62,5.02,0.57,9.31,3.7,1.73,549.25,37.49,5.355714285714286,14.650573486263003,0.45772205921579084,1
Air Conditioner,0,4.14,5.1,0.17,7.83,4.84,6.86,7.67,0.38,6.01,215.65,33.76,4.822857142857143,6.3877369668246455,0.23696682464454977,0
Speaker,3,0.28,0.6,9.05,7.75,3.88,2.95,6.22,0.19,8.44,499.12,38.48,5.497142857142856,12.970893970893972,0.43659043659043667,1
Toaster,1,1.63,3.13,0.87,0.18,4.46,7.96,5.41,2.13,4.55,128.71,25.56,3.6514285714285712,5.035602503912363,0.04107981220657277,0
Air Conditioner,0,2.68,8.76,0.67,5.8,5.55,1.97,5.58,8.12,1.19,172.72,28.88,4.1257142857142854,5.980609418282548,0.22403047091412742,0
Iron,1,9.09,6.63,0.78,1.92,0.93,7.9,6.23,1.7,9.8,492.4,29.26,4.180000000000001,16.828434723171565,0.09227614490772386,1
Stove,0,6.64,1.48,6.38,8.16,7.74,5.4,2.48,3.06,1.76,669.17,34.98,4.997142857142856,19.130074328187536,0.41566609491137796,1
Toaster,1,9.86,2.99,4.48,3.22,9.06,5.53,9.87,1.44,1.3,726.47,34.9,4.985714285714286,20.815759312320917,0.2206303724928367,1
Vacuum Cleaner,1,9.93,6.53,2.03,6.75,2.66,9.86,4.38,4.78,4.44,600.65,34.9,4.985714285714286,17.210601719197708,0.2515759312320917,1
Audio Equipment,3,0.14,0.53,4.39,2.75,3.08,6.44,8.51,0.8,0.74,242.57,26.71,3.815714285714286,9.081617371770871,0.26731561213028826,0
Speaker,3,8.88,4.68,1.53,6.06,1.51,9.53,1.04,7.45,0.43,521.19,27.549999999999997,3.9357142857142855,18.917967332123418,0.2754990925589837,1
TV,3,2.78,3.62,9.01,6.49,6.15,0.53,4.88,8.91,6.1,621.53,42.07,6.01,14.773710482529117,0.36843356310910386,1
Laptop,2,7.75,8.77,7.17,0.57,5.57,8.46,5.13,0.61,5.37,770.24,32.88,4.6971428571428575,23.425790754257907,0.2354014598540146,1
Air Conditioner,0,8.53,7.94,2.32,6.54,7.5,3.19,8.16,9.83,8.53,548.15,46.07,6.581428571428572,11.898198393748643,0.1923160408074669,1
Monitor,3,2.5,1.58,6.29,6.77,9.91,1.51,6.64,4.25,5.62,460.94,40.99,5.855714285714286,11.245181751646742,0.3186142961697975,1
Toaster,1,6.56,1.98,1.01,7.64,8.52,9.03,4.53,5.56,7.24,377.87,43.53000000000001,6.21857142857143,8.680679990810933,0.19871353089823107,1
Washing Machine,0,2.09,4.8,7.1,9.42,6.51,7.69,9.69,4.79,9.49,486.1,54.690000000000005,7.812857142857143,8.888279392942037,0.3020661912598281,1
TV,3,0.47,3.12,5.77,2.18,6.07,0.68,0.67,1.46,9.79,334.14,26.619999999999997,3.8028571428571425,12.55221637866266,0.2986476333583772,1
Stove,0,7.98,2.13,8.53,2.02,4.25,7.79,4.52,6.32,4.95,850.58,38.38,5.482857142857143,22.16206357477853,0.274882751433038,1
Tablet,2,8.33,3.7,3.67,2.96,4.88,8.91,7.4,4.62,2.49,608.3,34.93,4.99,17.414829659318634,0.1898081878041798,1
Speaker,3,2.79,3.66,1.55,9.2,3.59,3.5,3.49,0.55,2.26,222.35,24.14,3.448571428571429,9.210853355426677,0.44531897265948633,0
Iron,1,9.31,8.81,7.88,2.42,8.24,8.93,3.38,5.13,5.95,885.0,41.93,5.99,21.106606248509422,0.2456475077510136,1
Laptop,2,1.91,7.68,3.97,9.28,8.73,3.43,1.14,1.04,6.96,311.15,34.55,4.935714285714285,9.005788712011578,0.3835021707670044,1
Washing Machine,0,1.05,7.52,9.94,6.09,2.59,7.98,6.21,9.56,8.93,588.68,51.300000000000004,7.328571428571429,11.475243664717347,0.31247563352826513,1
Monitor,3,1.89,0.52,9.01,2.19,6.0,8.43,5.49,7.52,3.11,576.17,41.75,5.964285714285714,13.800479041916166,0.2682634730538922,1
Stove,0,9.25,8.47,5.75,6.84,4.7,6.39,0.8,2.97,5.04,767.64,32.49,4.6414285714285715,23.6269621421976,0.3875038473376423,1
Monitor,3,1.85,6.4,8.62,3.48,1.01,0.49,4.92,4.9,7.98,556.46,31.400000000000002,4.485714285714286,17.721656050955414,0.38535031847133755,1
Fridge,0,6.58,2.61,8.14,1.0,2.39,5.17,5.98,6.25,8.81,761.09,37.74,5.3914285714285715,20.166666666666668,0.24218335983041867,1
TV,3,6.13,9.44,8.58,2.79,7.34,1.39,4.59,5.57,5.74,766.47,36.0,5.142857142857143,21.290833333333335,0.31583333333333335,1
Smartphone,2,1.19,6.13,9.74,6.02,8.71,7.9,5.97,5.18,4.62,584.13,48.13999999999999,6.877142857142856,12.133984212712923,0.32737847943498133,1
Iron,1,1.1,9.56,4.7,7.07,1.07,2.45,6.74,5.34,5.3,311.42,32.67,4.667142857142857,9.532292623201714,0.36026936026936024,1
iPhone 11,2,1.88,6.96,8.64,4.87,9.26,6.23,5.38,5.15,2.46,559.55,41.99,5.998571428571429,13.325791855203619,0.3217432722076685,1
